id_peticion,tiempo_inicio,tiempo_fin,latencia_total,microservicios_respondieron,microservicios_discrepantes,consenso_alcanzado,id_producto,en_stock,cantidad_producto
1,1757280355.021056,1757280356.1399996,1.118943691253662,"MS2, MS3, MS1",,Sí,P002,True,200
2,1757280867.9133346,1757280869.0330472,1.1197125911712646,"MS3, MS1, MS2",,Sí,P002,True,200
3,1757280870.2444377,1757280871.3661802,1.1217424869537354,"MS2, MS3, MS1",MS3,Sí,P002,True,200
4,1757280872.9880023,1757280874.1064658,1.1184635162353516,"MS1, MS2, MS3",MS2,Sí,P002,True,200
5,1757280875.2955823,1757280876.4146593,1.1190769672393799,"MS1, MS2, MS3",MS3,Sí,P002,True,200
6,1757280877.5416386,1757280878.662095,1.1204564571380615,"MS1, MS2, MS3",,Sí,P002,True,200
7,1757280879.723065,1757280880.8426974,1.1196324825286865,"MS1, MS2, MS3",,Sí,P002,True,200
8,1757280881.9097698,1757280883.0291505,1.1193807125091553,"MS1, MS3, MS2",MS3,Sí,P002,True,200
9,1757280884.087522,1757280885.2076137,1.1200916767120361,"MS2, MS3, MS1",MS2,Sí,P002,True,200
10,1757280886.2578225,1757280887.279183,1.0213603973388672,"MS2, MS3, MS1",,Sí,P002,True,200
11,1757280888.421965,1757280889.5426788,1.1207139492034912,"MS3, MS1, MS2",,Sí,P002,True,200
12,1757280890.9958887,1757280892.1167707,1.1208820343017578,"MS2, MS3, MS1",,Sí,P002,True,200
13,1757280893.2112238,1757280894.330799,1.1195752620697021,"MS1, MS2, MS3",MS3,Sí,P002,True,200
14,1757280895.5323608,1757280896.6507444,1.1183836460113525,"MS2, MS1, MS3",MS3,Sí,P002,True,200
15,1757280897.774977,1757280898.895229,1.1202521324157715,"MS2, MS1, MS3","MS2, MS1, MS3",No,Sin consenso,Sin consenso,Sin consenso
16,1757280900.982186,1757280902.1016629,1.1194767951965332,"MS1, MS3, MS2",MS2,Sí,P002,True,200
17,1757280903.4596114,1757280904.5799615,1.1203501224517822,"MS1, MS3, MS2",,Sí,P002,True,200
18,1757280905.7416518,1757280906.8635535,1.1219017505645752,"MS3, MS1, MS2",MS2,Sí,P002,True,200
19,1757281125.406032,1757281126.5277843,1.1217522621154785,"MS3, MS2, MS1",MS3,Sí,P002,True,200
20,1757281127.6510308,1757281128.6716378,1.0206069946289062,"MS3, MS1, MS2",MS2,Sí,P002,True,200
21,1757281129.9544137,1757281131.0747206,1.1203069686889648,"MS1, MS2, MS3",MS2,Sí,P002,True,200
22,1757281132.4380872,1757281133.559816,1.1217286586761475,"MS3, MS1, MS2",,Sí,P002,True,200
23,1757281134.9759762,1757281136.1003318,1.1243555545806885,"MS1, MS2, MS3",,Sí,P002,True,200
24,1757281137.1732998,1757281138.2933562,1.120056390762329,"MS3, MS2, MS1",MS2,Sí,P002,True,200
25,1757281193.021055,1757281194.143839,1.122783899307251,"MS3, MS1, MS2","MS3, MS1, MS2",No,Sin consenso,Sin consenso,Sin consenso
26,1757284374.837741,1757284375.873869,1.036128044128418,"MS1, MS2, MS3",,Sí,P002,True,200
27,1757286215.615174,1757286216.657339,1.0421650409698486,"MS2, MS1, MS3",MS3,Sí,P002,True,200
28,1757286216.7481031,1757286217.788375,1.0402717590332031,"MS3, MS1, MS2",MS3,Sí,P002,True,200
29,1757286217.8768876,1757286218.9172752,1.0403876304626465,"MS3, MS1, MS2",MS3,Sí,P002,True,200
30,1757286218.9944432,1757286220.0378826,1.0434393882751465,"MS3, MS2, MS1",MS3,Sí,P002,True,200
31,1757286220.1166928,1757286221.1577878,1.0410950183868408,"MS1, MS3, MS2",,Sí,P002,True,200
32,1757286221.2478054,1757286222.2826004,1.0347950458526611,"MS1, MS2, MS3",MS2,Sí,P002,True,200
33,1757286222.3632352,1757286223.3931744,1.0299391746520996,"MS3, MS2, MS1",,Sí,P002,True,200
34,1757286223.4908345,1757286224.532566,1.041731595993042,"MS2, MS1, MS3",MS3,Sí,P002,True,200
35,1757286224.6115072,1757286225.6531785,1.0416712760925293,"MS1, MS3, MS2",MS2,Sí,P002,True,200
36,1757286225.7362998,1757286226.7744496,1.0381498336791992,"MS1, MS2, MS3",MS2,Sí,P002,True,200
37,1757286226.859284,1757286227.9023602,1.0430762767791748,"MS3, MS1, MS2",MS2,Sí,P002,True,200
38,1757286227.987145,1757286229.0306745,1.0435295104980469,"MS2, MS1, MS3",MS3,Sí,P002,True,200
39,1757286229.1225443,1757286230.164493,1.0419487953186035,"MS2, MS1, MS3",,Sí,P002,True,200
40,1757286230.2410812,1757286231.2809944,1.0399131774902344,"MS3, MS1, MS2",MS2,Sí,P002,True,200
41,1757286231.3758647,1757286232.4140418,1.0381770133972168,"MS1, MS2, MS3",,Sí,P002,True,200
42,1757286232.50911,1757286233.5534642,1.0443542003631592,"MS2, MS1, MS3",,Sí,P002,True,200
43,1757286233.6391947,1757286234.681054,1.0418593883514404,"MS2, MS1, MS3",,Sí,P002,True,200
44,1757286234.7687943,1757286235.812578,1.0437836647033691,"MS1, MS2, MS3",,Sí,P002,True,200
45,1757286235.8831294,1757286236.924589,1.041459560394287,"MS1, MS2, MS3",,Sí,P002,True,200
46,1757286237.0116675,1757286238.0529304,1.0412628650665283,"MS1, MS3, MS2",,Sí,P002,True,200
47,1757286238.1334925,1757286239.1788692,1.0453767776489258,"MS1, MS3, MS2",,Sí,P002,True,200
48,1757286239.2535784,1757286240.300572,1.0469934940338135,"MS2, MS1, MS3",MS3,Sí,P002,True,200
49,1757286240.3912592,1757286241.4346068,1.0433475971221924,"MS3, MS2, MS1",,Sí,P002,True,200
50,1757286241.516781,1757286242.5615137,1.0447325706481934,"MS2, MS1, MS3",,Sí,P002,True,200
51,1757286242.6586626,1757286243.7038696,1.0452070236206055,"MS3, MS1, MS2",MS3,Sí,P002,True,200
52,1757286243.7808082,1757286244.824463,1.0436546802520752,"MS1, MS2, MS3",,Sí,P002,True,200
53,1757286244.8958704,1757286245.939195,1.0433244705200195,"MS1, MS2, MS3",,Sí,P002,True,200
54,1757286246.0260062,1757286247.0693157,1.0433094501495361,"MS2, MS3, MS1",,Sí,P002,True,200
55,1757286247.1570928,1757286248.1944685,1.0373756885528564,"MS1, MS3, MS2",MS2,Sí,P002,True,200
56,1757286248.287113,1757286249.3285048,1.0413918495178223,"MS1, MS2, MS3",,Sí,P002,True,200
57,1757286249.4179964,1757286250.4591572,1.0411608219146729,"MS1, MS2, MS3",,Sí,P002,True,200
58,1757286250.5509791,1757286251.5955555,1.0445764064788818,"MS1, MS3, MS2",,Sí,P002,True,200
59,1757286251.6759183,1757286252.7194254,1.0435070991516113,"MS3, MS1, MS2","MS3, MS1, MS2",No,Sin consenso,Sin consenso,Sin consenso
60,1757286252.802595,1757286253.8345633,1.031968355178833,"MS3, MS1, MS2",,Sí,P002,True,200
61,1757286253.9314778,1757286254.9745028,1.043025016784668,"MS1, MS3, MS2",MS2,Sí,P002,True,200
62,1757286255.0684526,1757286256.109604,1.0411512851715088,"MS2, MS1, MS3",MS2,Sí,P002,True,200
63,1757286256.1997452,1757286257.241752,1.0420067310333252,"MS2, MS3, MS1",,Sí,P002,True,200
64,1757286257.3252134,1757286258.3637526,1.038539171218872,"MS3, MS1, MS2",,Sí,P002,True,200
65,1757286258.4347095,1757286259.4725928,1.0378832817077637,"MS3, MS1, MS2",,Sí,P002,True,200
66,1757286259.567402,1757286260.6052964,1.0378944873809814,"MS2, MS3, MS1",MS3,Sí,P002,True,200
67,1757286260.6975968,1757286261.7389808,1.041383981704712,"MS2, MS1, MS3",MS3,Sí,P002,True,200
68,1757286261.837967,1757286262.8745143,1.0365474224090576,"MS2, MS3, MS1",,Sí,P002,True,200
69,1757286262.961048,1757286264.0036533,1.0426054000854492,"MS1, MS2, MS3",,Sí,P002,True,200
70,1757286264.0742557,1757286265.1141906,1.0399348735809326,"MS2, MS3, MS1","MS2, MS3, MS1",No,Sin consenso,Sin consenso,Sin consenso
71,1757286265.2059093,1757286266.244506,1.0385966300964355,"MS2, MS3, MS1",,Sí,P002,True,200
72,1757286266.3206508,1757286267.3614032,1.0407524108886719,"MS1, MS2, MS3","MS1, MS2, MS3",No,Sin consenso,Sin consenso,Sin consenso
73,1757286267.4416783,1757286268.4830732,1.0413949489593506,"MS1, MS3, MS2",,Sí,P002,True,200
74,1757286268.5717309,1757286269.6126795,1.0409486293792725,"MS2, MS3, MS1",MS3,Sí,P002,True,200
75,1757286269.688557,1757286270.7310889,1.042531967163086,"MS1, MS3, MS2",MS2,Sí,P002,True,200
76,1757286270.825174,1757286271.8646123,1.039438247680664,"MS1, MS2, MS3",MS2,Sí,P002,True,200
77,1757286271.9564884,1757286273.0001006,1.0436122417449951,"MS2, MS1, MS3",,Sí,P002,True,200
78,1757286273.0905497,1757286274.1345656,1.044015884399414,"MS1, MS3, MS2",,Sí,P002,True,200
79,1757286274.2213511,1757286275.26457,1.0432188510894775,"MS1, MS2, MS3",MS3,Sí,P002,True,200
80,1757286275.3538816,1757286276.394565,1.0406835079193115,"MS1, MS3, MS2",,Sí,P002,True,200
81,1757286276.491149,1757286277.5334616,1.0423126220703125,"MS3, MS1, MS2",MS3,Sí,P002,True,200
82,1757286277.6059709,1757286278.6445827,1.038611888885498,"MS2, MS3, MS1",MS3,Sí,P002,True,200
83,1757286278.739313,1757286279.778376,1.0390632152557373,"MS1, MS2, MS3",,Sí,P002,True,200
84,1757286279.870767,1757286280.9096973,1.0389301776885986,"MS3, MS2, MS1","MS3, MS2, MS1",No,Sin consenso,Sin consenso,Sin consenso
85,1757286280.9827182,1757286282.0227425,1.0400242805480957,"MS2, MS1, MS3",MS2,Sí,P002,True,200
86,1757286282.116528,1757286283.1438098,1.0272817611694336,"MS3, MS2, MS1",MS2,Sí,P002,True,200
87,1757286283.2384183,1757286284.2756107,1.0371923446655273,"MS3, MS1, MS2",MS3,Sí,P002,True,200
88,1757286284.367925,1757286285.4055252,1.0376002788543701,"MS1, MS2, MS3",,Sí,P002,True,200
89,1757286285.4954994,1757286286.5397086,1.0442092418670654,"MS2, MS1, MS3","MS2, MS1, MS3",No,Sin consenso,Sin consenso,Sin consenso
90,1757286286.6251955,1757286287.664642,1.0394465923309326,"MS2, MS1, MS3",MS2,Sí,P002,True,200
91,1757286287.7477615,1757286288.790132,1.0423705577850342,"MS1, MS2, MS3",MS3,Sí,P002,True,200
92,1757286288.8638177,1757286289.9039688,1.0401511192321777,"MS1, MS2, MS3",,Sí,P002,True,200
93,1757286289.9827514,1757286291.025152,1.042400598526001,"MS1, MS3, MS2",,Sí,P002,True,200
94,1757286291.1143005,1757286292.1555572,1.0412566661834717,"MS3, MS2, MS1",,Sí,P002,True,200
95,1757286292.2405047,1757286293.282349,1.041844367980957,"MS2, MS3, MS1",MS2,Sí,P002,True,200
96,1757286293.3574235,1757286294.395566,1.038142442703247,"MS3, MS1, MS2",,Sí,P002,True,200
97,1757286294.4706192,1757286295.5122454,1.041626214981079,"MS2, MS3, MS1",MS2,Sí,P002,True,200
98,1757286295.602148,1757286296.643798,1.0416500568389893,"MS1, MS3, MS2",,Sí,P002,True,200
99,1757286296.7351213,1757286297.7738583,1.0387370586395264,"MS1, MS2, MS3",,Sí,P002,True,200
100,1757286297.8663032,1757286298.90558,1.0392768383026123,"MS2, MS3, MS1",,Sí,P002,True,200
101,1757286298.9953947,1757286300.0348303,1.039435625076294,"MS3, MS1, MS2",,Sí,P002,True,200
